SMI_Idx,Smiles,Enzyme,SOMs,Scores,RXN_Type,Uncertainty,Products
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2B6,10,0.66,Hydroxylation,L,['C=C1CC(O)CC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2B6,14,0.85,Hydroxylation,L,['C=C1CCCC2(C)C1Cc1c(C)coc1C2O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2B6,14,0.98,Epoxidation,H,['Cc1coc2c1CC1C(C)(CCCC13CO3)C2']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C8,0,0.98,Hydroxylation,H,['C=C1CCCC2(C)Cc3occ(CO)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C8,2,0.76,Hydroxylation,L,['C=C1CCCC2(C)Cc3oc(O)c(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C8,9,0.97,Hydroxylation,H,['C=C1C(O)CCC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C8,10,0.72,Hydroxylation,L,['C=C1CC(O)CC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C8,14,0.86,Hydroxylation,L,['C=C1CCCC2(C)C1Cc1c(C)coc1C2O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C8,14,0.98,Epoxidation,H,['Cc1coc2c1CC1C(C)(CCCC13CO3)C2']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C9,0,0.98,Hydroxylation,H,['C=C1CCCC2(C)Cc3occ(CO)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C9,2,0.72,Hydroxylation,L,['C=C1CCCC2(C)Cc3oc(O)c(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C9,9,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C9,10,0.73,Hydroxylation,L,['C=C1CC(O)CC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C9,14,0.87,Hydroxylation,L,['C=C1CCCC2(C)C1Cc1c(C)coc1C2O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C9,14,0.98,Epoxidation,H,['Cc1coc2c1CC1C(C)(CCCC13CO3)C2']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C19,0,0.98,Hydroxylation,H,['C=C1CCCC2(C)Cc3occ(CO)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C19,2,0.77,Hydroxylation,L,['C=C1CCCC2(C)Cc3oc(O)c(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C19,6,0.56,Hydroxylation,L,['C=C1CCCC2(C)Cc3occ(C)c3C(O)C12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C19,9,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C19,10,0.75,Hydroxylation,L,['C=C1CC(O)CC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C19,14,0.85,Hydroxylation,L,['C=C1CCCC2(C)C1Cc1c(C)coc1C2O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C19,14,0.97,Epoxidation,H,['Cc1coc2c1CC1C(C)(CCCC13CO3)C2']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2D6,0,0.98,Hydroxylation,H,['C=C1CCCC2(C)Cc3occ(CO)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2D6,2,0.72,Hydroxylation,L,['C=C1CCCC2(C)Cc3oc(O)c(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2D6,9,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2D6,10,0.73,Hydroxylation,L,['C=C1CC(O)CC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2D6,14,0.82,Hydroxylation,L,['C=C1CCCC2(C)C1Cc1c(C)coc1C2O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2D6,14,0.97,Epoxidation,H,['Cc1coc2c1CC1C(C)(CCCC13CO3)C2']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2E1,0,0.98,Hydroxylation,H,['C=C1CCCC2(C)Cc3occ(CO)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2E1,2,0.75,Hydroxylation,L,['C=C1CCCC2(C)Cc3oc(O)c(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2E1,9,0.97,Hydroxylation,H,['C=C1C(O)CCC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2E1,10,0.6,Hydroxylation,L,['C=C1CC(O)CC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2E1,14,0.8,Hydroxylation,L,['C=C1CCCC2(C)C1Cc1c(C)coc1C2O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2E1,14,0.96,Epoxidation,H,['Cc1coc2c1CC1C(C)(CCCC13CO3)C2']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,0,0.97,Hydroxylation,H,['C=C1CCCC2(C)Cc3occ(CO)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,2,0.85,Hydroxylation,L,['C=C1CCCC2(C)Cc3oc(O)c(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,6,0.6,Hydroxylation,L,['C=C1CCCC2(C)Cc3occ(C)c3C(O)C12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,7,0.56,Hydroxylation,L,['C=C1CCCC2(C)Cc3occ(C)c3CC12O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,9,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,10,0.76,Hydroxylation,L,['C=C1CC(O)CC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,11,0.5,Hydroxylation,L,['C=C1CCC(O)C2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,14,0.89,Hydroxylation,L,['C=C1CCCC2(C)C1Cc1c(C)coc1C2O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,14,0.98,Epoxidation,H,['Cc1coc2c1CC1C(C)(CCCC13CO3)C2']
