Smiles,CYP1A2,CYP2A6,CYP2B6,CYP2C8,CYP2C9,CYP2C19,CYP2D6,CYP2E1,CYP3A4,St_smi,stratify_col
C[C@H](N)Cc1cccc(C(F)(F)F)c1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(N)Cc1cccc(C(F)(F)F)c1,1.0
Fc1c(Cn2nc(C3=NC(N)=C(N(C(=O)OC)C)C(=N)N3)c3c2nccc3)cccc1,,,,,,,,,1.0,COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)[nH]c1=N,1.0
[n:1]1[cH:2][cH:3][c:4]-2[n:5][c:6]1[NH:7][c:8]3[cH:9][cH:10][c:11]([O:12][CH2:13][CH2:14][N:15]4[CH2:16][CH2:17][CH2:18][CH2:19]4)[c:20]([cH:21]3)[CH2:22][O:23][CH2:24][CH:25]=[CH:26][CH2:27][O:28][CH2:29][c:30]5[cH:31][cH:32][cH:33][c:34]2[cH:35]5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C1=CCOCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC1,1.0
O=C(Nc1c2OC(c3n[nH]nn3)=CC(=O)c2ccc1)c1ccc(OCCCCc2ccccc2)cc1,,,,,,,,,1.0,O=C(Nc1cccc2c(=O)cc(-c3nn[nH]n3)oc12)c1ccc(OCCCCc2ccccc2)cc1,1.0
Cc1c(F)c(N)c2c(=O)cc(-c3ccc(N)c(F)c3)oc2c1F,1.0,,,,1.0,1.0,,,,Cc1c(F)c(N)c2c(=O)cc(-c3ccc(N)c(F)c3)oc2c1F,3.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,5.0
CCCCCCCCCCCC(=O)OC1C(C)OC(OC2C(C)OC(OC3C(C)OC4OC5C(OC(CCCCC)CCCCCCCCCC(=O)OC4C3O)OC(C)C(O)C5O)C(OC(=O)CCCCCCCCC)C2OC2OC(C)C(O)C(O)C2O)C(O)C1O,,,,,,,,,0.0,CCCCCCCCCCCC(=O)OC1C(C)OC(OC2C(C)OC(OC3C(C)OC4OC5C(OC(CCCCC)CCCCCCCCCC(=O)OC4C3O)OC(C)C(O)C5O)C(OC(=O)CCCCCCCCC)C2OC2OC(C)C(O)C(O)C2O)C(O)C1O,0.0
CCC(C)C(N)C(=O)NC(CO)C(=O)O,,,,,,,,,0.0,CCC(C)C(N)C(=O)NC(CO)C(=O)O,0.0
O=C(CO)[C@@H]1[C@]2(C=O)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,,,,,,,,,1.0,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,1.0
COc1cc2c(cc1O)C1Cc3cc(O)c(O)cc3[N@@+]1(C)CC2,,,,,,,,,0.0,COc1cc2c(cc1O)C1Cc3cc(O)c(O)cc3[N+]1(C)CC2,0.0
O=C1N(CCCCN2CCN(c3nsc4c3cccc4)CC2)C(=O)[C@@H]2[C@H]1CCCC2,,,,,,,,,1.0,O=C1C2CCCCC2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,1.0
O=C(O[C@H]1[C@H](C)O[C@@H](O[C@H]2[C@H](N(C)C)[C@@H](O)[C@H](O[C@@H]3[C@@H](OC)[C@H](OC(=O)CC)CC(=O)O[C@H](C)C/C=C/C=C/[C@H](O)[C@H](C)C[C@@H]3CC=O)O[C@@H]2C)C[C@]1(O)C)CC,,,,,,,,,1.0,CCC(=O)OC1CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C(OC2OC(C)C(OC3CC(C)(O)C(OC(=O)CC)C(C)O3)C(N(C)C)C2O)C1OC,1.0
OC=1OC[C@H](Cc2cc3c(CCN(C)C)c[nH]c3cc2)N=1,1.0,,,,,,,,,CN(C)CCc1c[nH]c2ccc(CC3COC(O)=N3)cc12,1.0
O=C(OC)[C@]1(O)N2c3c(cccc3)C3C2=C2[C@](CC)(C1)CCCN2CC3,1.0,,,,,,,,1.0,CCC12CCCN3CCC4C(=C31)N(c1ccccc14)C(O)(C(=O)OC)C2,2.0
CSc1nc(-c2ccnc(N[C@H](C)c3ccccc3)c2)c(-c2ccc(F)cc2)[nH]1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,CSc1nc(-c2ccnc(NC(C)c3ccccc3)c2)c(-c2ccc(F)cc2)[nH]1,6.0
FC(F)(F)c1c(N=C(O)[C@@H]2[C@]3(C)[C@H]([C@H]4[C@@H]([C@]5(C)[C@H](N=C(O)C=C5)CC4)CC3)CC2)cc(C(F)(F)F)cc1,,,,,,,,,1.0,CC12C=CC(O)=NC1CCC1C2CCC2(C)C(C(O)=Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CCC12,1.0
CCCCCCCC/C=C\CCCCCCCC(=O)NC(COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(O[C@]5(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O5)C4O)C3CC(C)=O)C(O[C@]3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(CO)O[C@@]4(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(CO)O[C@@]5(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O5)O4)O3)C2O)C(O)C1O)C(O)/C=C/CCCCCCCCCCCCC,,,,,,,,,0.0,CCCCCCCCC=CCCCCCCCC(=O)NC(COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(OC5(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O5)C4O)C3CC(C)=O)C(OC3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(CO)OC4(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(CO)OC5(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O5)O4)O3)C2O)C(O)C1O)C(O)C=CCCCCCCCCCCCCC,0.0
O=C1N(Cc2nc(C)c3c(n2)cccc3)C(=O)c2n(CC#CC)c(N3C[C@H](N)CCC3)nc2N1C,,,,,,,,,1.0,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,1.0
[O:1]=[S:2](=[O:3])([c:4]1[cH:5][cH:6][c:7]([cH:8][cH:9]1)-[c:10]2[cH:11][c:12]([Cl:13])[cH:14][n:15][c:16]2-[c:17]3[cH:18][n:19][c:20]([cH:21][cH:22]3)[CH2:23][OH:24])[CH3:25],1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2ccc(CO)nc2)cc1,4.0
O=C1Oc2c(C(O)=C1)cccc2,,,,,,,,,1.0,O=c1cc(O)c2ccccc2o1,1.0
O=C(CO)[C@]1(O)[C@]2(C)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C([C@@H](C)C3)=CC(=O)C=C2)CC1,,,,,,,,,1.0,CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,1.0
CCOc1ccc2cc(C#N)c(=O)oc2c1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,CCOc1ccc2cc(C#N)c(=O)oc2c1,7.0
CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CN(C)CCOc1ccc(C(=C(CCCl)c2ccccc2)c2ccccc2)cc1,2.0
O=C(OCC)[C@@H](N[C@H](C(=O)N1[C@H](C(=O)O)CCC1)C)CCc1ccccc1,,,,,,,,,1.0,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,1.0
Clc1ccccc1CN1CCc2sccc2C1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,Clc1ccccc1CN1CCc2sccc2C1,6.0
Cc1c[nH]c2ccccc12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Cc1c[nH]c2ccccc12,3.0
O=C(CC)[C@@]1(C)[C@H](C)C[C@@H]2[C@]1(C)C[C@H](O)[C@@H]1[C@]3(C)C(=CC(=O)C=C3)CC[C@@H]21,,,,,,,,,1.0,CCC(=O)C1(C)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,1.0
OC1=NC(=N)Nc2c1[nH]cc2,1.0,,,,,,,,,N=c1nc(O)c2[nH]ccc2[nH]1,1.0
Clc1ccc(C(=O)NCCc2ccc(OC(C(=O)O)(C)C)cc2)cc1,,,,,,,,,1.0,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,1.0
O[C@@H]1CC=2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)(C(c5cnccc5)=CC4)CC3)CC=2)CC1,,,,,,,,,1.0,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,1.0
CN1CCN2c3ncccc3Cc3ccccc3[C@H]2C1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,CN1CCN2c3ncccc3Cc3ccccc3C2C1,5.0
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@H]1CCC(C)=C[C@H]21,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)=CC21,3.0
Clc1ccc(NC=2/C(=N/C(C)C)/C=C3N(c4ccc(Cl)cc4)c4c(N=C3C=2)cccc4)cc1,,,,,,,,,1.0,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,1.0
Clc1[nH]c2N(C)C(=O)N(C)C(=O)c2n1,1.0,,,,,,,,,Cn1c(=O)c2nc(Cl)[nH]c2n(C)c1=O,1.0
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,1.0
[NH2:1][C:2](=[O:3])[O:4][CH:5]=[CH2:6],,,,,,,,1.0,,C=COC(N)=O,1.0
O(C)c1c(OC)cc2c3[C@@H](N(C)CC2)Cc2cc(c(OC)cc2)Oc2ccc(cc2)C[C@@H]2N(C)CCc4c2cc(c(OC)c4)Oc13,,,,,,,,,1.0,COc1ccc2cc1Oc1ccc(cc1)CC1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1C(C2)N(C)CC3,1.0
CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1OC(C)C(=O)O,,,,,,,,,0.0,CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1OC(C)C(=O)O,0.0
[O:1]=[C:2]([NH2:3])[CH2:4][c:5]1[cH:6][cH:7][c:8]([O:9][CH2:10][CH:11]([OH:12])[CH2:13][NH:14][CH:15]([CH3:16])[CH3:17])[cH:18][cH:19]1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,1.0
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,1.0
C[C@H]1S[C@H](c2cccnc2)N(C)C1=O,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC1SC(c2cccnc2)N(C)C1=O,1.0
CCO,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,CCO,8.0
CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,1.0
O=Cc1ccc2c(c1)C(c1cc(O)cc3c1C(c1cc(O)cc(O)c1)C(c1ccc(O)cc1)O3)C(c1ccc(O)cc1)O2,,,,,,,,,0.0,O=Cc1ccc2c(c1)C(c1cc(O)cc3c1C(c1cc(O)cc(O)c1)C(c1ccc(O)cc1)O3)C(c1ccc(O)cc1)O2,0.0
Brc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,,,,,0.0,,,,1.0,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,1.0
Clc1ccc(C(=O)c2ccc(OC(C(=O)OC(C)C)(C)C)cc2)cc1,,,,,,,,,1.0,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,1.0
[O:1]=[C:2]([OH:3])[CH:4]1[N:5]=[C:6]([c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[c:13]3[cH:14][c:15]([Cl:16])[cH:17][cH:18][c:19]3[NH:20][C:21]1=[O:22],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,1.0
COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1,5.0
COc1ccc2ccc(=O)oc2c1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COc1ccc2ccc(=O)oc2c1,2.0
Nc1cc2[n+](C)c3c(cc2cc1)ccc(N)c3,1.0,,,,,,,,,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,1.0
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,4.0
O(C)c1c(OC)c2c(cc1OC)CCC(N=C(O)C)C=1C2=CC=C(OC)C(=O)C=1,,,,,,,,,1.0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(N=C(C)O)CC2,1.0
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,1.0
[F:1][C:2]([F:3])([F:4])[c:5]1[n:6][c:7]2[c:8]([cH:9][cH:10][cH:11][c:12]2[C:13]([F:14])([F:15])[F:16])[c:17]([cH:18]1)[CH:19]([OH:20])[CH:21]3[NH:22][CH2:23][CH2:24][CH2:25][CH2:26]3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,1.0
[F:1][c:2]1[cH:3][cH:4][c:5]([cH:6][c:7]1[F:8])[CH:9]2[CH2:10][CH:11]2[NH:12][c:13]3[n:14][c:15]([n:16][c:17]4[c:18]3[n:19][n:20][n:21]4[CH:22]5[CH2:23][CH:24]([O:25][CH2:26][CH2:27][OH:28])[CH:29]([OH:30])[CH:31]5[OH:32])[S:33][CH2:34][CH2:35][CH3:36],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CCCSc1nc(NC2CC2c2ccc(F)c(F)c2)c2nnn(C3CC(OCCO)C(O)C3O)c2n1,1.0
[O:1]=[C:2]1[S:3][CH:4]([C:5](=[O:6])[NH:7]1)[CH2:8][c:9]2[cH:10][cH:11][c:12]([O:13][CH2:14][CH2:15][c:16]3[n:17][cH:18][c:19]([cH:20][cH:21]3)[CH:22]([OH:23])[CH3:24])[cH:25][cH:26]2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,CC(O)c1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,2.0
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,3.0
O=[N+]([O-])c1cc2c3ccccc3ccc2c2ccccc12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,O=[N+]([O-])c1cc2c3ccccc3ccc2c2ccccc12,3.0
CCN(C)N=O,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,CCN(C)N=O,8.0
[O:1]=[S:2](=[O:3])([NH:4][c:5]1[n:6][cH:7][n:8][c:9]([O:10][CH2:11][CH2:12][O:13][c:14]2[n:15][cH:16][c:17]([Br:18])[cH:19][n:20]2)[c:21]1-[c:22]3[cH:23][cH:24][c:25]([Br:26])[cH:27][cH:28]3)[NH:29][CH2:30][CH2:31][CH3:32],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,1.0
Clc1c(NC(O)=NC2CC2)ccc(Oc2c3c(ncc2)cc(OC)c(C(O)=N)c3)c1,,,,,,,,,1.0,COc1cc2nccc(Oc3ccc(NC(O)=NC4CC4)c(Cl)c3)c2cc1C(=N)O,1.0
OCc1cc([C@H](O)CNCCCCCCOCCCCc2ccccc2)ccc1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,1.0
O=C1N(Cc2ccc(-c3c(-c4n[nH]nn4)cccc3)cc2)c2nc(C)nc(C)c2CC1,,,,,,0.0,0.0,,1.0,Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)C(=O)CC2,1.0
Clc1ccc(C2=C(CN3CCN(c4cc(Oc5c[nH]c-6nccc-6c5)c(C(O)=NS(=O)(=O)c5cc([N+](=O)[O-])c(NCC6CCOCC6)cc5)cc4)CC3)CCC(C)(C)C2)cc1,,,,,,,,,1.0,CC1(C)CCC(CN2CCN(c3ccc(C(O)=NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4c[nH]c5nccc-5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,1.0
O(C)c1ccc(CC(NC[C@H](O)c2c3OCC(O)=Nc3cc(O)c2)(C)C)cc1,,,,,1.0,,,,,COc1ccc(CC(C)(C)NCC(O)c2cc(O)cc3c2OCC(O)=N3)cc1,1.0
C/C(=C\CCC(C)C1CC[C@@]2(C)C3=C(CC[C@@]12C)[C@@]1(C)CCC(O)C(C)(C)C1CC3O)C(=O)O,,,,,,,,,0.0,CC(=CCCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)C(C)(C)C1CC3O)C(=O)O,0.0
CC(O)c1ccc2c(c1)C=CC(C)(C)O2,,,,,,,,,0.0,CC(O)c1ccc2c(c1)C=CC(C)(C)O2,0.0
COc1ccc2[nH]cc(CCN)c2c1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,COc1ccc2[nH]cc(CCN)c2c1,1.0
C=CCc1ccc(O)c(OC)c1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,C=CCc1ccc(O)c(OC)c1,4.0
CC(C)(CO[P@](=O)([O-])O[P@@](=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)CC/C=C\CC(O)/C=C/C=C/C=C\C(O)CCCC(=O)O,,,,,,,,,0.0,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)CCC=CCC(O)C=CC=CC=CC(O)CCCC(=O)O,0.0
O=[N+](O[C@H]1[C@H]2OC[C@H](O[N+](=O)[O-])[C@H]2OC1)[O-],,,,,,,,,1.0,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,1.0
CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CCNC(C)Cc1cccc(C(F)(F)F)c1,2.0
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O,6.0
ClC=1C(=Nc2c(S(=O)(=O)C(C)C)cccc2)NC(Nc2c(OC(C)C)cc(c(C)c2)C2CCNCC2)=NC=1,,,,,,,,,1.0,Cc1cc(Nc2ncc(Cl)c(=Nc3ccccc3S(=O)(=O)C(C)C)[nH]2)c(OC(C)C)cc1C1CCNCC1,1.0
c1ccc2c(c1)Cc1ccccc1N1CCNCC21,1.0,,,,,,1.0,,1.0,c1ccc2c(c1)Cc1ccccc1N1CCNCC21,3.0
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,2.0
O=C1C(C(O)=N)=C(O)[C@@H](N(C)C)[C@@H]2[C@@H](O)[C@@H]3[C@@H](C)c4c(c(O)ccc4)C(=O)C3=C(O)[C@]12O,,,,,,,,,1.0,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(=N)O)=C(O)C(N(C)C)C3C(O)C21,1.0
[O:1]=[C:2]([O:3][CH:4]1[CH2:5][N:6]2[CH2:7][CH2:8][CH:9]1[CH2:10][CH2:11]2)[N:12]3[CH2:13][CH2:14][c:15]4[cH:16][cH:17][cH:18][cH:19][c:20]4[CH:21]3[c:22]5[cH:23][cH:24][cH:25][cH:26][cH:27]5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,O=C(OC1CN2CCC1CC2)N1CCc2ccccc2C1c1ccccc1,2.0
CC1CC[C@]2(OC1)OC1CC3C4C(CC[C@]3(C)C1C2C)[C@]1(C)CCC(O)C[C@@]1(O)C4C=O,,,,,,,,,0.0,CC1CCC2(OC1)OC1CC3C4C(CCC3(C)C1C2C)C1(C)CCC(O)CC1(O)C4C=O,0.0
