SMI_Idx,Smiles,Enzyme,SOMs,Scores,RXN_Type,Uncertainty,Products
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2B6,10,0.66,Hydroxylation,L,['C=C1CC(O)CC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2B6,14,0.85,Hydroxylation,L,['C=C1CCCC2(C)C1Cc1c(C)coc1C2O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2B6,14,0.98,Epoxidation,H,['Cc1coc2c1CC1C(C)(CCCC13CO3)C2']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C8,0,0.98,Hydroxylation,H,['C=C1CCCC2(C)Cc3occ(CO)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C8,2,0.76,Hydroxylation,L,['C=C1CCCC2(C)Cc3oc(O)c(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C8,9,0.97,Hydroxylation,H,['C=C1C(O)CCC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C8,10,0.72,Hydroxylation,L,['C=C1CC(O)CC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C8,14,0.86,Hydroxylation,L,['C=C1CCCC2(C)C1Cc1c(C)coc1C2O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C8,14,0.98,Epoxidation,H,['Cc1coc2c1CC1C(C)(CCCC13CO3)C2']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C9,0,0.98,Hydroxylation,H,['C=C1CCCC2(C)Cc3occ(CO)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C9,2,0.72,Hydroxylation,L,['C=C1CCCC2(C)Cc3oc(O)c(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C9,9,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C9,10,0.73,Hydroxylation,L,['C=C1CC(O)CC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C9,14,0.87,Hydroxylation,L,['C=C1CCCC2(C)C1Cc1c(C)coc1C2O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C9,14,0.98,Epoxidation,H,['Cc1coc2c1CC1C(C)(CCCC13CO3)C2']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C19,0,0.98,Hydroxylation,H,['C=C1CCCC2(C)Cc3occ(CO)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C19,2,0.77,Hydroxylation,L,['C=C1CCCC2(C)Cc3oc(O)c(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C19,6,0.56,Hydroxylation,L,['C=C1CCCC2(C)Cc3occ(C)c3C(O)C12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C19,9,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C19,10,0.75,Hydroxylation,L,['C=C1CC(O)CC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C19,14,0.85,Hydroxylation,L,['C=C1CCCC2(C)C1Cc1c(C)coc1C2O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2C19,14,0.97,Epoxidation,H,['Cc1coc2c1CC1C(C)(CCCC13CO3)C2']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2D6,0,0.98,Hydroxylation,H,['C=C1CCCC2(C)Cc3occ(CO)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2D6,2,0.72,Hydroxylation,L,['C=C1CCCC2(C)Cc3oc(O)c(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2D6,9,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2D6,10,0.73,Hydroxylation,L,['C=C1CC(O)CC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2D6,14,0.82,Hydroxylation,L,['C=C1CCCC2(C)C1Cc1c(C)coc1C2O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2D6,14,0.97,Epoxidation,H,['Cc1coc2c1CC1C(C)(CCCC13CO3)C2']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2E1,0,0.98,Hydroxylation,H,['C=C1CCCC2(C)Cc3occ(CO)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2E1,2,0.75,Hydroxylation,L,['C=C1CCCC2(C)Cc3oc(O)c(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2E1,9,0.97,Hydroxylation,H,['C=C1C(O)CCC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2E1,10,0.6,Hydroxylation,L,['C=C1CC(O)CC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2E1,14,0.8,Hydroxylation,L,['C=C1CCCC2(C)C1Cc1c(C)coc1C2O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2E1,14,0.96,Epoxidation,H,['Cc1coc2c1CC1C(C)(CCCC13CO3)C2']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,0,0.97,Hydroxylation,H,['C=C1CCCC2(C)Cc3occ(CO)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,2,0.85,Hydroxylation,L,['C=C1CCCC2(C)Cc3oc(O)c(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,6,0.6,Hydroxylation,L,['C=C1CCCC2(C)Cc3occ(C)c3C(O)C12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,7,0.56,Hydroxylation,L,['C=C1CCCC2(C)Cc3occ(C)c3CC12O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,9,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,10,0.76,Hydroxylation,L,['C=C1CC(O)CC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,11,0.5,Hydroxylation,L,['C=C1CCC(O)C2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,14,0.89,Hydroxylation,L,['C=C1CCCC2(C)C1Cc1c(C)coc1C2O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP3A4,14,0.98,Epoxidation,H,['Cc1coc2c1CC1C(C)(CCCC13CO3)C2']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP1A2,1,0.98,Hydroxylation,H,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP1A2,7,0.63,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP1A2,11,0.51,Hydroxylation,L,['C=C1CCCC2(C)CC3=C(C(C)C(=O)O3)C(O)C12']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP1A2,13,0.97,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP1A2,14,0.6,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP1A2,15,0.97,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2A6,1,0.99,Hydroxylation,H,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2A6,7,0.67,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2A6,11,0.54,Hydroxylation,L,['C=C1CCCC2(C)CC3=C(C(C)C(=O)O3)C(O)C12']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2A6,13,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2A6,14,0.73,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2A6,15,0.98,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2B6,1,0.98,Hydroxylation,H,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2B6,7,0.63,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2B6,11,0.53,Hydroxylation,L,['C=C1CCCC2(C)CC3=C(C(C)C(=O)O3)C(O)C12']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2B6,13,0.97,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2B6,14,0.66,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2B6,15,0.98,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C8,1,0.95,Hydroxylation,L,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C8,7,0.69,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C8,11,0.53,Hydroxylation,L,['C=C1CCCC2(C)CC3=C(C(C)C(=O)O3)C(O)C12']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C8,13,0.97,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C8,14,0.72,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C8,15,0.98,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C9,1,0.97,Hydroxylation,H,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C9,7,0.67,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C9,11,0.54,Hydroxylation,L,['C=C1CCCC2(C)CC3=C(C(C)C(=O)O3)C(O)C12']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C9,13,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C9,14,0.73,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C9,15,0.98,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C19,1,0.98,Hydroxylation,H,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C19,7,0.61,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C19,11,0.57,Hydroxylation,L,['C=C1CCCC2(C)CC3=C(C(C)C(=O)O3)C(O)C12']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C19,13,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C19,14,0.75,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C19,15,0.97,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2D6,1,0.98,Hydroxylation,H,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2D6,7,0.54,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2D6,13,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2D6,14,0.73,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2D6,15,0.97,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2E1,1,0.98,Hydroxylation,H,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2E1,7,0.54,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2E1,13,0.97,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2E1,14,0.6,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2E1,15,0.96,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP3A4,1,0.97,Hydroxylation,H,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP3A4,7,0.73,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP3A4,11,0.59,Hydroxylation,L,['C=C1CCCC2(C)CC3=C(C(C)C(=O)O3)C(O)C12']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP3A4,13,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP3A4,14,0.76,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP3A4,15,0.98,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP1A2,30,0.99,Dealkylation,H,"['C=O', 'COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)ccnc2cc1O']"
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP1A2,33,0.99,Dealkylation,H,"['C=O', 'COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1O']"
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP2A6,30,0.99,Dealkylation,H,"['C=O', 'COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)ccnc2cc1O']"
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP2A6,33,0.99,Dealkylation,H,"['C=O', 'COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1O']"
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP2B6,30,0.99,Dealkylation,H,"['C=O', 'COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)ccnc2cc1O']"
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP2B6,33,0.99,Dealkylation,H,"['C=O', 'COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1O']"
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP2C8,30,0.98,Dealkylation,H,"['C=O', 'COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)ccnc2cc1O']"
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP2C8,33,0.98,Dealkylation,H,"['C=O', 'COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1O']"
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP2C9,30,0.99,Dealkylation,H,"['C=O', 'COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)ccnc2cc1O']"
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP2C9,33,0.99,Dealkylation,H,"['C=O', 'COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1O']"
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP2C19,30,0.99,Dealkylation,H,"['C=O', 'COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)ccnc2cc1O']"
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP2C19,33,0.99,Dealkylation,H,"['C=O', 'COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1O']"
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP2D6,30,0.99,Dealkylation,H,"['C=O', 'COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)ccnc2cc1O']"
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP2D6,33,0.99,Dealkylation,H,"['C=O', 'COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1O']"
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP2E1,30,0.98,Dealkylation,H,"['C=O', 'COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)ccnc2cc1O']"
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP2E1,33,0.98,Dealkylation,H,"['C=O', 'COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1O']"
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP3A4,30,0.98,Dealkylation,H,"['C=O', 'COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)ccnc2cc1O']"
2,O=C(C1(CC1)C(NC2=CC=C(F)C=C2)=O)NC(C=C3)=CC=C3OC4=CC=NC5=CC(OC)=C(OC)C=C54,CYP3A4,33,0.98,Dealkylation,H,"['C=O', 'COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1O']"
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP1A2,15,0.58,N-Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCN(O)CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl']
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP1A2,26,0.84,Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)cc(O)c(F)c1Cl']
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP1A2,27,0.77,Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)c(O)cc(F)c1Cl']
