Smiles,atom_target
[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][n:6][c:7]([n:8]1[CH3:9])[CH2:10][O:11][c:12]2[cH:13][cH:14][c:15]([S:16][CH3:17])[cH:18][cH:19]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[cH:1]1[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[nH:7][cH:8][c:9]2[CH3:10],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
[Cl:1][c:2]1[cH:3][cH:4][c:5]([Cl:6])[c:7]([Cl:8])[cH:9]1,"[0, 0, 1, 1, 0, 0, 0, 0, 1]"
[O:1]=[C:2]([NH:3][c:4]1[c:5]([cH:6][cH:7][cH:8][c:9]1[CH3:10])[CH3:11])[CH2:12][N:13]([CH2:14][CH3:15])[CH2:16][CH3:17],"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([NH:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[CH3:10],"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][cH:8][c:9]([cH:10]1)[N:11]2[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]2,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[NH:3][CH2:4][CH2:5][c:6]2[c:7]([nH:8][c:9]3[cH:10][c:11]([F:12])[cH:13][c:14]1[c:15]23)-[c:16]4[cH:17][cH:18][c:19]([cH:20][cH:21]4)[CH2:22][NH:23][CH3:24],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
[Cl:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[Cl:8],"[0, 0, 1, 1, 0, 0, 0, 0]"
[O:1]=[C:2]1[S:3][CH:4]([C:5](=[O:6])[NH:7]1)[CH2:8][c:9]2[cH:10][cH:11][c:12]([O:13][CH2:14][CH2:15][N:16]([c:17]3[n:18][cH:19][cH:20][cH:21][cH:22]3)[CH3:23])[cH:24][cH:25]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
[O:1]=[c:2]1[o:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[cH:10][cH:11]1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
[n:1]1[cH:2][cH:3][c:4]([O:5][CH2:6][CH2:7][CH2:8][O:9][CH3:10])[c:11]([c:12]1[CH2:13][S:14][c:15]2[n:16][c:17]3[cH:18][cH:19][cH:20][cH:21][c:22]3[nH:23]2)[CH3:24],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[c:2]1[o:3][c:4]2[c:5]([c:6]([O:7][CH3:8])[cH:9][c:10]3[O:11][CH:12]4[O:13][CH:14]=[CH:15][CH:16]4[c:17]23)[c:18]5[c:19]1[C:20](=[O:21])[CH2:22][CH2:23]5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
[O:1]=[C:2]([c:3]1[cH:4][c:5]([O:6][CH3:7])[c:8]([O:9][CH3:10])[c:11]([O:12][CH3:13])[cH:14]1)[c:15]2[cH:16][nH:17][c:18]3[cH:19][c:20]([O:21][CH3:22])[cH:23][cH:24][c:25]23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][c:6]2[cH:7][cH:8][cH:9][c:10]3[cH:11][cH:12][c:13]4[cH:14][cH:15][cH:16][c:17]1[c:18]4[c:19]23,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[S:2]([c:3]1[n:4][c:5]2[cH:6][c:7]([F:8])[cH:9][cH:10][c:11]2[nH:12]1)[CH2:13][c:14]3[n:15][cH:16][cH:17][c:18]([O:19][CH2:20][CH:21]4[CH2:22][CH2:23]4)[cH:24]3,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][c:6]2[cH:7][cH:8][c:9]3[cH:10][cH:11][cH:12][c:13]4[cH:14][cH:15][c:16]([cH:17]1)[c:18]2[c:19]34,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
[Cl:1][c:2]1[cH:3][cH:4][c:5]2[S:6][c:7]3[cH:8][cH:9][cH:10][cH:11][c:12]3[CH:13]=[C:14]([O:15][CH2:16][CH2:17][N:18]([CH3:19])[CH3:20])[c:21]2[cH:22]1,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[S:2](=[O:3])([c:4]1[cH:5][cH:6][c:7]([cH:8][cH:9]1)-[c:10]2[cH:11][c:12]([Cl:13])[cH:14][n:15][c:16]2-[c:17]3[cH:18][n:19][c:20]([cH:21][cH:22]3)[CH2:23][OH:24])[CH3:25],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
[O:1]=[C:2]1[c:3]2[c:4]([OH:5])[cH:6][c:7]([OH:8])[cH:9][c:10]2[O:11][CH:12]([c:13]3[cH:14][cH:15][c:16]([OH:17])[cH:18][cH:19]3)[CH2:20]1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
[S:1]1[c:2]2[cH:3][cH:4][cH:5][cH:6][c:7]2[N:8]([c:9]3[cH:10][cH:11][cH:12][cH:13][c:14]13)[CH2:15][CH2:16][CH2:17][N:18]([CH3:19])[CH3:20],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[cH:1]1[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[cH:7][cH:8][c:9]3[c:10]2[c:11]([c:12]4[cH:13][cH:14][cH:15][cH:16][c:17]4[c:18]3[CH3:19])[CH3:20],"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
[O:1]=[S:2](=[O:3])([N:4]1[CH2:5][CH2:6][CH2:7][CH2:8]1)[CH2:9][c:10]2[cH:11][cH:12][c:13]3[nH:14][cH:15][c:16]([c:17]3[cH:18]2)[CH2:19][CH2:20][N:21]([CH3:22])[CH3:23],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]([c:2]1[c:3]([cH:4][cH:5][cH:6][c:7]1[CH3:8])[CH3:9])[CH2:10][CH:11]([NH2:12])[CH3:13],"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0]"
[O:1]=[C:2]([OH:3])[c:4]1[cH:5][n:6]([c:7]2[cH:8][c:9]([c:10]([F:11])[cH:12][c:13]2[c:14]1=[O:15])[N:16]3[CH2:17][CH2:18][NH:19][CH2:20][CH2:21]3)[CH:22]4[CH2:23][CH2:24]4,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([c:3]1[cH:4][cH:5][cH:6][c:7]([cH:8]1)[CH3:9])[N:10]([CH2:11][CH3:12])[CH2:13][CH3:14],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][cH:6][c:7]2[cH:8][cH:9][c:10]3[cH:11][cH:12][cH:13][c:14]4[cH:15][cH:16][c:17]1[c:18]2[c:19]34,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
[Cl:1][c:2]1[cH:3][cH:4][cH:5][c:6]([Cl:7])[c:8]1[NH:9][c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[CH2:16][CH2:17][OH:18],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][CH2:5][c:6]1[c:7]([nH:8][c:9]([CH:10]=[C:11]2[C:12](=[O:13])[NH:14][c:15]3[cH:16][cH:17][cH:18][cH:19][c:20]23)[c:21]1[CH3:22])[CH3:23],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
[O:1]=[c:2]1[o:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]([OH:11])[c:12]1[CH:13]([c:14]3[cH:15][cH:16][c:17]([cH:18][cH:19]3)[N+:20](=[O:21])[O-:22])[CH2:23][C:24](=[O:25])[CH3:26],"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([c:3]1[cH:4][cH:5][c:6]([cH:7][cH:8]1)[CH3:9])[CH:10]([CH3:11])[CH2:12][N:13]2[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[c:2]1[o:3][c:4]2[cH:5][c:6]([O:7][CH3:8])[cH:9][cH:10][c:11]2[cH:12][cH:13]1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
[O:1]=[C:2]([NH2:3])[N:4]([OH:5])[CH:6]([C:7]#[C:8][c:9]1[s:10][c:11]([cH:12][cH:13]1)[CH2:14][c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[CH3:21],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
[F:1][C:2]([F:3])([F:4])[O:5][c:6]1[cH:7][cH:8][c:9]([O:10][CH2:11][CH2:12][CH2:13][O:14][NH:15][C:16](=[N:17][C:18](=[N:19][CH:20]([CH3:21])[CH3:22])[NH2:23])[NH2:24])[c:25]([Cl:26])[cH:27]1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([O:3][CH3:4])[NH:5][c:6]1[n:7][c:8]2[cH:9][cH:10][c:11]([S:12][CH2:13][CH2:14][CH3:15])[cH:16][c:17]2[nH:18]1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
[O:1]=[c:2]1[o:3][c:4]2[cH:5][cH:6][c:7]([Cl:8])[cH:9][c:10]2[nH:11]1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([O:3][c:4]1[cH:5][cH:6][cH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]12)[NH:14][CH3:15],"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
[O:1]=[C:2]([O:3][c:4]1[cH:5][c:6]([c:7]([S:8][CH3:9])[c:10]([cH:11]1)[CH3:12])[CH3:13])[NH:14][CH3:15],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[c:2]1[n:3][c:4]([NH2:5])[nH:6][c:7](-[c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[c:14]1[Br:15],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
[O:1]=[c:2]1[c:3]([cH:4][o:5][c:6]2[cH:7][c:8]([OH:9])[cH:10][c:11]([OH:12])[c:13]12)-[c:14]3[cH:15][cH:16][c:17]([O:18][CH3:19])[cH:20][cH:21]3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
[S:1]=[P:2]([O:3][CH2:4][CH3:5])([O:6][CH2:7][CH3:8])[S:9][CH2:10][S:11][CH2:12][CH3:13],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
[O:1]=[C:2]([NH:3][c:4]1[c:5]([cH:6][cH:7][cH:8][c:9]1[CH3:10])[CH3:11])[CH:12]2[N:13]([CH2:14][CH2:15][CH3:16])[CH2:17][CH2:18][CH2:19][CH2:20]2,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[N:1]=1[c:2]2[cH:3][cH:4][cH:5][cH:6][c:7]2[NH:8][c:9]3[s:10][c:11]([cH:12][c:13]3[C:14]1[N:15]4[CH2:16][CH2:17][N:18]([CH3:19])[CH2:20][CH2:21]4)[CH3:22],"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
