SMI_Idx,Smiles,Enzyme,SOMs,Scores,RXN_Type,Uncertainty,Products
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2B6,13,0.97,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2B6,14,0.66,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2B6,15,0.98,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C8,1,0.95,Hydroxylation,L,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C8,7,0.69,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C8,11,0.53,Hydroxylation,L,['C=C1CCCC2(C)CC3=C(C(C)C(=O)O3)C(O)C12']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C8,13,0.97,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C8,14,0.72,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C8,15,0.98,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C9,1,0.97,Hydroxylation,H,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C9,7,0.67,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C9,11,0.54,Hydroxylation,L,['C=C1CCCC2(C)CC3=C(C(C)C(=O)O3)C(O)C12']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C9,13,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C9,14,0.73,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C9,15,0.98,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C19,1,0.98,Hydroxylation,H,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C19,7,0.61,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C19,11,0.57,Hydroxylation,L,['C=C1CCCC2(C)CC3=C(C(C)C(=O)O3)C(O)C12']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C19,13,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C19,14,0.75,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2C19,15,0.97,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2D6,1,0.98,Hydroxylation,H,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2D6,7,0.54,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2D6,13,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2D6,14,0.73,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2D6,15,0.97,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2E1,1,0.98,Hydroxylation,H,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2E1,7,0.54,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2E1,13,0.97,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2E1,14,0.6,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2E1,15,0.96,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP3A4,1,0.97,Hydroxylation,H,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP3A4,7,0.73,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP3A4,11,0.59,Hydroxylation,L,['C=C1CCCC2(C)CC3=C(C(C)C(=O)O3)C(O)C12']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP3A4,13,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP3A4,14,0.76,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP3A4,15,0.98,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
